"crAss"	"res"	"int1"	"mge"	"bp"	"country"	"rel_crAss"	"rel_res"	"rel_int"	"rel_mge"
"SRR341616"	0.684531	25395	0	11411	2187535460	"China"	0.312923384565387	11608.9546726708	NA	5216.37258396717
"SRR341617"	0.842899	15045	1	10667	1895895984	"China"	0.444591373742791	7935.56193323315	0.527455096924769	5626.36351889651
"SRR341618"	18.3289	14808	3	18019	2403078220	"China"	7.62725900782372	6162.09654632049	1.24839881408438	7498.29941032881
"SRR341619"	0.0502859	14402	0	2537	1956107564	"China"	0.0257071241507658	7362.580803353	NA	1296.96344244595
"SRR341620"	NA	15488	5	12799	2338208636	"China"	NA	6623.87426063719	2.13838915955488	5473.84857062858
"SRR341621"	0.0853861	14578	11	8211	2069892776	"China"	0.0412514604572928	7042.87689151295	5.31428493666089	3966.87214681114
"SRR341622"	0.236285	24837	3	16997	2164415492	"China"	0.109168041382694	11475.153496083	1.38605550139908	7852.92845242673
"SRR341623"	NA	21822	0	4414	2209063836	"China"	NA	9878.3926676893	NA	1998.13148360281
"SRR341624"	NA	27128	72	21601	2339234128	"China"	NA	11596.9580279653	30.7793047041249	9234.21890158059
"SRR341625"	0.743945	13740	3	11688	1878382996	"China"	0.396056076734204	7314.80216189095	1.59711837595872	6222.37319273518
"SRR341626"	NA	18667	21	17031	1967669768	"China"	NA	9486.85612981375	10.6725225652804	8655.41580044238
"SRR341627"	NA	11549	4	13794	2088268900	"China"	NA	5530.41804146966	1.91546213229532	6605.47116322041
"SRR341628"	NA	18591	4	16811	2211771496	"China"	NA	8405.47951432683	1.80850508618726	7600.6947509735
"SRR341629"	2.91326	25478	0	21301	2172991500	"China"	1.34066792253904	11724.8502812827	NA	9802.61542670554
"SRR341630"	NA	12994	5	26556	2098661164	"China"	NA	6191.56642477423	2.38247130397654	12653.7815896802
"SRR341631"	0.25961	23844	7	8348	2190380100	"China"	0.118522807982048	10885.7818786794	3.19579236498725	3811.2106661305
"SRR341632"	75.2233	23974	8	30947	4575442650	"China"	16.4406606648211	5239.71161566193	1.74846470865502	6763.71716734336
"SRR341633"	810.055	33540	42	23195	4587264600	"China"	176.587807906263	7311.54684209845	9.15578316541845	5056.39025052097
"SRR341634"	NA	17363	2	6308	2332219668	"China"	NA	7444.83902534347	0.857552154045208	2704.71949385859
"SRR341635"	0.853572	21694	4	10452	1816107704	"China"	0.470000759382275	11945.3267844295	2.20251254437716	5755.16527845752
"SRR341636"	NA	17944	124	17403	2337110032	"China"	NA	7677.85844667497	53.0569799034605	7446.37597790261
"SRR341637"	147.465	20653	1	13313	1807631744	"China"	81.5791161498877	11425.4466201718	0.553210023733684	7364.88504596653
"SRR341638"	133.825	15747	3	9845	1921295744	"China"	69.6535139985195	8196.03127169577	1.56144623198624	5124.14605130151
"SRR341639"	1327.69	22318	1	36955	2459875440	"China"	539.738711322716	9072.81711792691	0.406524649069223	15023.1184063531
"SRR341640"	0.018297	14572	9	8715	2426374456	"China"	0.00754088057379384	6005.66823639525	3.7092378621711	3591.77866320235
"SRR341641"	NA	13700	0	4233	1999498352	"China"	NA	6851.71857545997	NA	2117.03100218409
"SRR341642"	0.00152475	21577	3	14159	2182402524	"China"	0.000698656633335162	9886.81041316464	1.37463184128905	6487.80408027057
"SRR341643"	NA	20287	0	9875	3016765800	"China"	NA	6724.75138772788	NA	3273.37309379469
