"crAss"	"res"	"bp"	"rel_crAss"	"rel_res"	"sample_id"	"project_id"	"mgrast_id"	"biome"	"feature"	"material"	"env_package"	"location"	"country"	"continent"	"latitude"	"longitude"	"collection_date"	"samp_collect_device"
"mgm4477873.3"	NA	39	1112254600	NA	35.0639143232134	"mgs92800"	"mgp2997"	"-"	"Deserts and xeric shrubland biome"	"slope"	"bulk soil"	"soil"	"Chihuahuan Desert, Sevilleta LTER, New Mexico, USA"	"USA"	"-"	34.333	-106.733	"2010-01-10"	"-"
"mgm4477904.3"	NA	13	1086364600	NA	11.966516582002	"mgs92770"	"mgp2997"	"-"	"Deserts and xeric shrubland biome"	"slope"	"bulk soil"	"soil"	"Wright Valley, Antarctica"	"USA"	"-"	-77.527	161.702	"2010-01-10"	"-"
"mgm4480703.3"	NA	166	4812885734	NA	34.4907419736385	"mgs188985"	"mgp9762"	"-"	"terrestrial biome"	"geographic feature"	"dust"	"soil"	"Chad Desert"	"Chad"	"-"	15.446105	18.7350005	"2009-01-01"	"-"
"mgm4480704.3"	NA	11	346371157	NA	31.757840621816	"mgs188982"	"mgp9762"	"-"	"terrestrial biome"	"geographic feature"	"dust"	"soil"	"Chad Desert"	"Chad"	"-"	15.446105	18.7350005	"2009-01-01"	"-"
"mgm4481524.3"	NA	5209	2382739581	NA	2186.13903153187	"mgs138976"	"mgp6393"	"-"	"Temperate grasslands"	"animal-associated habitat"	"feces"	"host-associated"	"Ithaca, NY"	"USA"	"-"	42.444015	-76.501893	"2011-08-02"	"-"
"mgm4481526.3"	NA	6341	3883018932	NA	1633.00774759138	"mgs138979"	"mgp6393"	"-"	"Temperate grasslands"	"animal-associated habitat"	"feces"	"host-associated"	"Ithaca, NY"	"USA"	"-"	42.444015	-76.501893	"2011-08-02"	"-"
"mgm4481527.3"	NA	3670	1499936052	NA	2446.77097740698	"mgs138982"	"mgp6393"	"-"	"Temperate grasslands"	"animal-associated habitat"	"feces"	"host-associated"	"Ithaca, NY"	"USA"	"-"	42.444015	-76.501893	"2011-08-02"	"-"
"mgm4481530.3"	NA	6476	2983132162	NA	2170.87264268515	"mgs138985"	"mgp6393"	"-"	"Temperate grasslands"	"animal-associated habitat"	"feces"	"host-associated"	"Ithaca, NY"	"USA"	"-"	42.444015	-76.501893	"2011-08-02"	"-"
"mgm4481562.3"	NA	14773	5076852870	NA	2909.87357291684	"mgs138988"	"mgp6393"	"-"	"Temperate grasslands"	"animal-associated habitat"	"feces"	"host-associated"	"Ithaca, NY"	"USA"	"-"	42.444015	-76.501893	"2011-08-02"	"-"
"mgm4481563.3"	NA	8575	3422305614	NA	2505.62076189844	"mgs138991"	"mgp6393"	"-"	"Temperate grasslands"	"animal-associated habitat"	"feces"	"host-associated"	"Ithaca, NY"	"USA"	"-"	42.444015	-76.501893	"2011-08-02"	"-"
"mgm4481574.3"	NA	6422	3132297547	NA	2050.25222017964	"mgs138994"	"mgp6393"	"-"	"Temperate grasslands"	"animal-associated habitat"	"feces"	"host-associated"	"Ithaca, NY"	"USA"	"-"	42.444015	-76.501893	"2011-08-02"	"-"
"mgm4481575.3"	NA	9407	3676532512	NA	2558.66090379891	"mgs138997"	"mgp6393"	"-"	"Temperate grasslands"	"animal-associated habitat"	"feces"	"host-associated"	"Ithaca, NY"	"USA"	"-"	42.444015	-76.501893	"2011-08-02"	"-"
"mgm4481956.3"	NA	20	1577649589	NA	12.6770863057601	"mgs86914"	"mgp305"	"-"	"Small river biome"	"freshwater habitat"	"sediment"	"sediment"	"Southeastern Montana"	"USA"	"-"	45.652528	106.289931	"2011-03-31"	"-"
"mgm4481957.3"	NA	28	1582623607	NA	17.692140996858	"mgs86917"	"mgp305"	"-"	"Small river biome"	"freshwater habitat"	"sediment"	"sediment"	"Southeastern Montana"	"USA"	"-"	45.652528	106.289931	"2011-03-31"	"-"
"mgm4481963.3"	NA	187	6153600822	NA	30.3887114892874	"mgs86902"	"mgp305"	"-"	"Small river biome"	"freshwater habitat"	"sediment"	"sediment"	"Southeastern Montana"	"USA"	"-"	45.139111	106.767658	"2011-04-06"	"-"
"mgm4481964.3"	NA	148	6164498054	NA	24.0084429751691	"mgs86905"	"mgp305"	"-"	"Small river biome"	"freshwater habitat"	"sediment"	"sediment"	"Southeastern Montana"	"USA"	"-"	45.139111	106.767658	"2011-04-06"	"-"
"mgm4481965.3"	NA	30	1490685023	NA	20.1249757910796	"mgs86908"	"mgp305"	"-"	"Small river biome"	"freshwater habitat"	"sediment"	"sediment"	"Southeastern Montana"	"USA"	"-"	45.139111	106.767658	"2011-04-06"	"-"
"mgm4481966.3"	NA	41	1496358734	NA	27.3998467535927	"mgs86911"	"mgp305"	"-"	"Small river biome"	"freshwater habitat"	"sediment"	"sediment"	"Southeastern Montana"	"USA"	"-"	45.139111	106.767658	"2011-04-06"	"-"
"mgm4481967.3"	NA	26	1319715234	NA	19.7012198769542	"mgs86920"	"mgp305"	"-"	"Small river biome"	"freshwater habitat"	"sediment"	"sediment"	"Southeastern Montana"	"USA"	"-"	45.183433	106.740008	"2011-04-05"	"-"
"mgm4481968.3"	NA	20	1324856854	NA	15.0959705115433	"mgs86923"	"mgp305"	"-"	"Small river biome"	"freshwater habitat"	"sediment"	"sediment"	"Southeastern Montana"	"USA"	"-"	45.183433	106.740008	"2011-04-05"	"-"
"mgm4481969.3"	NA	38	1527182873	NA	24.8824162920009	"mgs86926"	"mgp305"	"-"	"Small river biome"	"freshwater habitat"	"sediment"	"sediment"	"Southeastern Montana"	"USA"	"-"	45.183433	106.740008	"2011-04-05"	"-"
"mgm4481970.3"	NA	41	1532398822	NA	26.7554369080558	"mgs86929"	"mgp305"	"-"	"Small river biome"	"freshwater habitat"	"sediment"	"sediment"	"Southeastern Montana"	"USA"	"-"	45.183433	106.740008	"2011-04-05"	"-"
"mgm4481971.3"	NA	28	1264164714	NA	22.1490124585142	"mgs86935"	"mgp305"	"-"	"Small river biome"	"freshwater habitat"	"sediment"	"sediment"	"Southeastern Montana"	"USA"	"-"	45.322819	106.51465	"2011-03-25"	"-"
"mgm4481972.3"	NA	28	1268256469	NA	22.0775534636756	"mgs86938"	"mgp305"	"-"	"Small river biome"	"freshwater habitat"	"sediment"	"sediment"	"Southeastern Montana"	"USA"	"-"	45.322819	106.51465	"2011-03-25"	"-"
"mgm4481974.3"	NA	40	1462267247	NA	27.3547807913118	"mgs86932"	"mgp305"	"-"	"Small river biome"	"freshwater habitat"	"sediment"	"sediment"	"Southeastern Montana"	"USA"	"-"	45.322819	106.51465	"2011-03-25"	"-"
"mgm4481975.3"	NA	51	1732682140	NA	29.4341349879673	"mgs86941"	"mgp305"	"-"	"Small river biome"	"freshwater habitat"	"sediment"	"sediment"	"Southeastern Montana"	"USA"	"-"	45.942894	106.949183	"2010-11-11"	"-"
"mgm4481976.3"	NA	42	1742747706	NA	24.0998739263295	"mgs86944"	"mgp305"	"-"	"Small river biome"	"freshwater habitat"	"sediment"	"sediment"	"Southeastern Montana"	"USA"	"-"	45.942894	106.949183	"2010-11-11"	"-"
"mgm4481977.3"	NA	38	1738546418	NA	21.8573399056637	"mgs86947"	"mgp305"	"-"	"Small river biome"	"freshwater habitat"	"sediment"	"sediment"	"Southeastern Montana"	"USA"	"-"	45.942894	106.949183	"2010-11-11"	"-"
"mgm4481978.3"	NA	33	1748798293	NA	18.8701007612431	"mgs86950"	"mgp305"	"-"	"Small river biome"	"freshwater habitat"	"sediment"	"sediment"	"Southeastern Montana"	"USA"	"-"	45.942894	106.949183	"2010-11-11"	"-"
"mgm4481979.3"	NA	47	1948692064	NA	24.1187414206045	"mgs86971"	"mgp305"	"-"	"Small river biome"	"freshwater habitat"	"sediment"	"sediment"	"Southeastern Montana"	"USA"	"-"	45.322819	106.51465	"2010-10-28"	"-"
"mgm4481980.3"	NA	44	1960215895	NA	22.4465070976276	"mgs86974"	"mgp305"	"-"	"Small river biome"	"freshwater habitat"	"sediment"	"sediment"	"Southeastern Montana"	"USA"	"-"	45.322819	106.51465	"2010-10-28"	"-"
"mgm4481981.3"	NA	50	1926020990	NA	25.9602570582577	"mgs86959"	"mgp305"	"-"	"Small river biome"	"freshwater habitat"	"sediment"	"sediment"	"Southeastern Montana"	"USA"	"-"	45.139111	106.767658	"2010-11-04"	"-"
"mgm4481982.3"	NA	41	1937164966	NA	21.1649501821519	"mgs86962"	"mgp305"	"-"	"Small river biome"	"freshwater habitat"	"sediment"	"sediment"	"Southeastern Montana"	"USA"	"-"	45.139111	106.767658	"2010-11-04"	"-"
"mgm4481983.3"	NA	59	1933171192	NA	30.519800959252	"mgs86965"	"mgp305"	"-"	"Small river biome"	"freshwater habitat"	"sediment"	"sediment"	"Southeastern Montana"	"USA"	"-"	45.414297	106.440583	"2010-11-04"	"-"
"mgm4481984.3"	NA	63	1944296300	NA	32.4024686978008	"mgs86968"	"mgp305"	"-"	"Small river biome"	"freshwater habitat"	"sediment"	"sediment"	"Southeastern Montana"	"USA"	"-"	45.414297	106.440583	"2010-11-04"	"-"
"mgm4481985.3"	NA	555	1865648882	NA	297.483629076567	"mgs86953"	"mgp305"	"-"	"Small river biome"	"freshwater habitat"	"sediment"	"sediment"	"Southeastern Montana"	"USA"	"-"	45.183433	106.740083	"2010-11-11"	"-"
"mgm4481986.3"	NA	564	1876700250	NA	300.527481679613	"mgs86956"	"mgp305"	"-"	"Small river biome"	"freshwater habitat"	"sediment"	"sediment"	"Southeastern Montana"	"USA"	"-"	45.183433	106.740083	"2010-11-11"	"-"
"mgm4482593.3"	NA	424	3705209492	NA	114.433475601169	"mgs184004"	"mgp8744"	"-"	"Tundra biome"	"tundra"	"soil"	"miscellaneous"	"Daring Lake, NWT"	"Canada"	"-"	64.86667	111.58333	"2010-05-09"	"-"
"mgm4482599.3"	NA	534	2009171272	NA	265.781224050868	"mgs184010"	"mgp8744"	"-"	"terrestrial biome"	"canopy"	"soil"	"miscellaneous"	"Port Renfrew, Vancouver Island"	"Canada"	"-"	48.60783	124.22522	"2010-05-09"	"-"
"mgm4482600.3"	NA	56	238095018	NA	235.200217419081	"mgs184016"	"mgp8744"	"-"	"terrestrial biome"	"agricultural soil"	"soil"	"miscellaneous"	"Elora research station,Guelph,ON"	"Canada"	"-"	43.47417	80.40972	"2010-05-05"	"-"
"mgm4482714.3"	NA	287	5286307074	NA	54.291208585209	"mgs192572"	"mgp9847"	"-"	"Deserts and xeric shrubland biome"	"organic feature"	"chyme"	"host-associated"	"Salt Lake City UT"	"USA"	"-"	40.76078	-111.89105	"2011-02-16"	"-"
"mgm4483544.3"	NA	680	2959594200	NA	229.761228752239	"mgs184007"	"mgp8744"	"-"	"Tundra biome"	"tundra"	"soil"	"miscellaneous"	"Daring Lake, NWT"	"Canada"	"-"	64.86667	111.58333	"2010-05-09"	"-"
"mgm4483800.3"	NA	147	5257083936	NA	27.9622699179974	"mgs192569"	"mgp9847"	"-"	"Deserts and xeric shrubland biome"	"organic feature"	"chyme"	"host-associated"	"Salt Lake City UT"	"USA"	"-"	40.76078	-111.89105	"2011-02-16"	"-"
"mgm4483819.3"	NA	1279	3406532100	NA	375.455143957105	"mgs184019"	"mgp8744"	"-"	"terrestrial biome"	"agricultural soil"	"soil"	"miscellaneous"	"Elora research station,Guelph,ON"	"Canada"	"-"	43.47417	80.40972	"2010-05-05"	"-"
