"crAss"	"res"	"Tetracycline"	"Aminoglycoside"	"MLS"	"Beta_lactam"	"Trimethroprim"	"Sulphonamide"	"Vancomycin"	"Chloramphenicol"	"Quinolone"	"rich"	"mge"	"intI1"	"bp"	"rel_crAss"	"rel_res"	"rel_rich"	"rel_mge"	"rel_int"	"country"	"rel_tet"	"rel_amino"	"rel_mls"	"rel_beta"	"rel_tri"	"rel_sul"	"rel_van"	"rel_clo"	"rel_qui"	"crAss_detection"
"SRR5997540"	0.36694	7586	1617	1896	844	1246	73	891	116	505	51	364	23282	879	1713162348	0.214188690539678	4428.06836658308	212.472565968395	13590.0722002092	513.086223863239	"Singapore"	943.868514205754	1106.72523372548	492.656169443201	727.309937353351	42.6112563617934	520.090813950109	67.7110375064115	294.776499489119	29.7695078691982	"crAssphage detected"
"SRR5997541"	13.735	6878	1068	1725	672	1553	111	646	6	650	227	293	19681	1045	1415802146	9.70121428252165	4858.02343175711	206.949820515387	13900.9536435609	738.097482725528	"Singapore"	754.342690479295	1218.39058153257	474.642591762253	1096.90468006961	78.4007852464436	456.27844386669	4.23788028359155	459.103697389084	160.33313739588	"crAssphage detected"
"SRR5997542"	0.0155154	120	31	22	18	13	0.5	14	0.5	10	11	62	905	29	1148472588	0.0135095954070782	104.48660355836	53.9847451718195	788.0031351693	25.2509291932704	"Singapore"	26.9923725859097	19.1558773190327	15.672990533754	11.3193820521557	0.435360848159834	12.1901037484754	0.435360848159834	8.70721696319669	9.57793865951636	"crAssphage detected"
"SRR5997543"	0.001	1	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	0.5	1	59	0.5	1261023498	0.000793006634361702	0.793006634361702	0.793006634361702	46.7873914273404	0.5	"Singapore"	0.396503317180851	0.396503317180851	0.396503317180851	0.793006634361702	0.396503317180851	0.396503317180851	0.396503317180851	0.396503317180851	0.396503317180851	"crAssphage not detected"
"SRR5997544"	0.00517179	40	4	18	4	4	0.5	10	0.5	0.5	0.5	20	3169	28	1288731388	0.00401308608462324	31.0382756037909	15.5191378018955	2459.00738471034	21.7267929226536	"Singapore"	3.10382756037909	13.9672240217059	3.10382756037909	3.10382756037909	0.387978445047386	7.75956890094773	0.387978445047386	0.387978445047386	0.387978445047386	"crAssphage detected"
"SRR5997545"	0.0310308	105	18	20	21	22	0.5	19	0.5	1	4	44	729	28	1003997992	0.0309072331292073	104.581882470538	43.8247888447968	726.09706972402	27.8885019921434	"Singapore"	17.9283227092351	19.9203585658167	20.9163764941076	21.9123944223984	0.498008964145418	18.9243406375259	0.498008964145418	0.996017928290837	3.98407171316335	"crAssphage detected"
"SRR5997546"	3.51432	1596	646	179	291	212	7	80	0.5	79	65	189	5656	82	1384769008	2.53783842626264	1152.53879223155	136.484856974789	4084.43571983812	59.215652232448	"Singapore"	466.503796855627	129.263435970832	210.143351215151	153.09412528389	5.05499470276995	57.7713680316566	0.361071050197854	57.0492259312609	46.939236525721	"crAssphage detected"
"SRR5997547"	0.001	8	0.5	5	0.5	1	0.5	2	0.5	0.5	0.5	5	638	5	1342253624	0.000745015682669522	5.96012546135618	3.72507841334761	475.320005543155	3.72507841334761	"Singapore"	0.372507841334761	3.72507841334761	0.372507841334761	0.745015682669522	0.372507841334761	1.49003136533904	0.372507841334761	0.372507841334761	0.372507841334761	"crAssphage not detected"
"SRR5997548"	1.2242	17774	547	4720	874	4328	561	2680	6	2175	823	377	84722	4267	1676858712	0.730055544476904	10599.5811530244	224.825143169248	50524.2328370955	2544.63895465034	"Singapore"	326.205181203126	2814.78693835238	521.212666127115	2581.01649770956	334.554125511798	1598.22648194584	3.578118989431	1297.06813366874	490.798654716951	"crAssphage detected"
"SRR5997549"	0.0103436	78	4	27	9	1	0.5	32	0.5	4	1	31	2931	38	1132662098	0.00913211452759321	68.8643154368179	27.3691510069405	2587.70908391427	33.5492818794754	"Singapore"	3.53150335573425	23.8376476512062	7.94588255040207	0.882875838933563	0.441437919466782	28.252026845874	0.441437919466782	3.53150335573425	0.882875838933563	"crAssphage detected"
"SRR5997550"	0.341318	290	39	95	21	68	6	35	0.5	12	10	102	6452	55	1227608872	0.278034810422908	236.231593477764	83.088353568041	5255.74565902942	44.8025435906103	"Singapore"	31.769076364251	77.3862116565088	17.1064257345967	55.3922357120273	4.88755020988477	28.5107095576611	0.40729585082373	9.77510041976953	8.14591701647461	"crAssphage detected"
"SRR5997551"	6.7889	6027	638	1637	825	1508	10	637	2	401	259	275	23282	903	1550767356	4.37776818923444	3886.46303178953	177.331563587543	15013.2125943461	582.29237061655	"Singapore"	411.4092275231	1055.60643488294	531.994690762629	972.421810509145	6.44842049409247	410.764385473691	1.28968409881849	258.581661813108	167.014090796995	"crAssphage detected"
"SRR5997552"	2.72847	3696	984	870	764	639	9	206	47	106	19	219	7745	268	1394890332	1.95604624779921	2649.67066959354	157.001590000267	5552.40782900487	192.12979963503	"Singapore"	705.431801645034	623.704946576402	547.713309407323	458.100529726806	6.45212013699726	147.681860913493	33.6944051598746	75.9916371690789	13.6211425114387	"crAssphage detected"
"SRR5298537"	0.0415907	189	33	22	20	53	0.5	4	0.5	13	40	84	3035	38	5298337790	0.00784976376525061	35.6715648361861	15.8540288160827	572.821160200131	7.17206065489456	"UK"	6.22836846346107	4.15224564230738	3.77476876573398	10.003137229195	0.0943692191433495	0.754953753146796	0.0943692191433495	2.45359969772709	7.54953753146796	"crAssphage detected"
"SRR5306398"	0.024973	149	21	17	29	35	2	2	1	9	29	69	1861	28	3976778646	0.00627970581795364	37.4675115875182	17.350726842542	467.966705130009	7.04087466074168	"UK"	5.28065599555626	4.27481675830745	7.29233447005388	8.8010933259271	0.502919618624406	0.502919618624406	0.251459809312203	2.26313828380983	7.29233447005388	"crAssphage detected"
