"crAss"	"res"	"rich"	"mge"	"intI1"	"bp"	"rel_crAss"	"rel_res"	"rel_rich"	"rel_mge"	"rel_int"	"country"	"crAss_detection"
"SRR5298537"	0.0415907	220	84	3035	38	5298337790	0.00784976376525061	41.5224564230738	15.8540288160827	572.821160200131	7.17206065489456	"Spain"	"crAssphage detected"
"SRR5306398"	0.024973	174	69	1861	28	3976778646	0.00627970581795364	43.7540068203233	17.350726842542	467.966705130009	7.04087466074168	"Spain"	"crAssphage detected"
"SRR5306399"	0.0104054	110	52	1608	26	3496353966	0.00297607167385981	31.4613454672169	14.872636039048	459.907668284407	7.436318019524	"Spain"	"crAssphage detected"
"SRR5306400"	0.0208108	191	70	2022	16	4322279446	0.00481477430138375	44.1896463165422	16.1951583359055	467.808716502871	3.7017504767784	"Spain"	"crAssphage detected"
"SRR5306401"	0.0332973	200	66	2192	26	4514348116	0.00737588221918152	44.303185058137	14.6200510691852	485.562908237181	5.75941405755781	"Spain"	"crAssphage detected"
"SRR5306402"	0.0103951	151	60	1781	34	3958921846	0.00262574013945311	38.1416976322902	15.1556414432941	449.86995684178	8.58819681786666	"Spain"	"crAssphage detected"
"SRR5306403"	0.114459	2933	308	43329	606	7329249628	0.015616741932589	400.177391802161	42.0234015257639	5911.79209321372	82.682406898094	"Spain"	"crAssphage detected"
"SRR5306404"	0.151909	3243	306	47232	699	7962867876	0.0190771719894854	407.265328334075	38.4283658557592	5931.53129444189	87.7824435724695	"Spain"	"crAssphage detected"
"SRR5306406"	0.124865	2764	312	38179	546	7346149150	0.0169973407087712	376.251549425729	42.471231338939	5197.14468361972	74.3246548431432	"Spain"	"crAssphage detected"
"SRR5306407"	0.160171	2742	301	37647	557	7683230792	0.0208468291967455	356.881118663655	39.1762278328812	4899.89185788863	72.4955445279562	"Spain"	"crAssphage detected"
"SRR5306409"	0.199712	3196	336	45238	701	9832389996	0.0203116434642286	325.048131868263	34.1727698084282	4600.91595414784	71.2949751062743	"Spain"	"crAssphage detected"
"SRR5306410"	0.187277	2735	302	36092	584	7649744040	0.0244814727160466	357.528302345656	39.4784450853339	4718.06635768169	76.3424236087251	"Spain"	"crAssphage detected"
"ERR1191817"	59.0749	83901	868	183249	7530	6465923000	9.13634449404981	12975.8736687709	134.242241981539	28340.7334111464	1164.56691488593	"UK"	"crAssphage detected"
"ERR1191818"	16.2415	111328	921	236953	7906	5235541600	3.10216234362458	21263.8936915333	175.913032569544	45258.5459353432	1510.0634478771	"UK"	"crAssphage detected"
"ERR1191819"	17.085	149072	875	361190	15931	10979565200	1.55607254830091	13577.2225297228	79.693501888399	32896.5667966524	1450.9682040961	"UK"	"crAssphage detected"
"ERR1191820"	3.54502	102537	854	219591	5921	6157338000	0.575739061263163	16652.8132774261	138.69630025183	35663.3012512875	961.616854556303	"UK"	"crAssphage detected"
"ERR1191821"	0.0844795	43766	557	143531	9834	5673829000	0.0148893278242964	7713.66214949375	98.1700364956364	25297.0260471368	1733.22107522098	"UK"	"crAssphage detected"
"ERR1191822"	3.60452	48752	766	169078	9314	6079284800	0.592918430141651	8019.36438312612	126.001663879935	27812.1531664383	1532.08811668109	"UK"	"crAssphage detected"
"ERR1193290"	1.76277	882	189	17198	159	6596060200	0.267245893237906	133.716184094257	28.6534680201979	2607.31398418711	24.1052984931823	"UK"	"crAssphage detected"
"ERR1193291"	0.174965	3993	286	20130	228	7327351600	0.0238783409820269	544.944506279731	39.0318379153527	2747.24089942675	31.1162903660853	"UK"	"crAssphage detected"
"ERR1193292"	0.0947406	772	154	20488	10	5479928200	0.0172886571762017	140.877758215883	28.10255798607	3738.73511700391	1.82484142766688	"UK"	"crAssphage detected"
