"Row.names"	"crAss"	"res"	"bp"	"rel_crAss"	"rel_res"	"country"	"WWTP"	"country_wwtp"	"Treatment_plant"	"Sample_type"	"num"	"Lib_size"	"Sample"
"1"	"103"	1.77866	6431	6450134114	0.275755506562169	997.033532379045	"Sweden 2"	"Uppsala"	"SWE: Uppsala"	"Uppsala"	"Primary/Surplus"	63	"6,1"	"Primary Sludge"
"2"	"104"	1.83275	7754	7055105530	0.259776411877428	1099.06222763474	"Sweden 2"	"Uppsala"	"SWE: Uppsala"	"Uppsala"	"Primary/Surplus"	64	"6,7"	"Primary Sludge"
"3"	"105"	0.305836	983	6778298062	0.0451198807137968	145.021654552316	"Sweden 2"	"Uppsala"	"SWE: Uppsala"	"Uppsala"	"Surplus"	65	"6,4"	"Sludge"
"4"	"106"	0.380632	1028	6934576776	0.0548890022124113	148.242644534245	"Sweden 2"	"Uppsala"	"SWE: Uppsala"	"Uppsala"	"Surplus"	66	"6,5"	"Sludge"
"5"	"107"	0.264266	904	6045056646	0.0437160502333529	149.543677245469	"Sweden 2"	"Uppsala"	"SWE: Uppsala"	"Uppsala"	"Surplus"	67	"5,6"	"Sludge"
"6"	"108"	0.478638	1149	7157915248	0.0668683525044162	160.521598844167	"Sweden 2"	"Uppsala"	"SWE: Uppsala"	"Uppsala"	"Surplus"	68	"6,7"	"Sludge"
"7"	"112"	1.80142	1305	5737450238	0.313975707897024	227.452953117883	"Sweden 2"	"Uppsala"	"SWE: Uppsala"	"Uppsala"	"Digested"	52	"5,4"	"Digested Sludge"
"8"	"113"	1.1526	1415	7669427930	0.150285003069323	184.49876743284	"Sweden 2"	"Käppala"	"SWE: Käppala"	"K�ppala"	"Digested"	25	"7,2"	"Digested Sludge"
"9"	"114"	0.994138	2196	8529318498	0.116555384845004	257.464884271226	"Sweden 2"	"Käppala"	"SWE: Käppala"	"K�ppala"	"Digested"	26	"8,0"	"Digested Sludge"
"10"	"115"	0.865451	2167	9254594448	0.093515821234828	234.153966678498	"Sweden 2"	"Käppala"	"SWE: Käppala"	"K�ppala"	"Digested"	27	"8,5"	"Digested Sludge"
"11"	"121"	0.979849	1590	9204088792	0.10645801253587	172.749311304123	"Sweden 2"	"Käppala"	"SWE: Käppala"	"K�ppala"	"Surplus"	43	"8,7"	"Sludge"
"12"	"122"	0.92367	1612	9399509854	0.0982678899588502	171.498304171042	"Sweden 2"	"Käppala"	"SWE: Käppala"	"K�ppala"	"Surplus"	44	"8,7"	"Sludge"
"13"	"123"	0.746799	1897	4326310883	0.172617969488625	438.479816014646	"Sweden 2"	"Käppala"	"SWE: Käppala"	"K�ppala"	"Surplus"	45	"8,1"	"Sludge"
"14"	"124"	1.29807	1946	9272601536	0.139989839416734	209.865590842531	"Sweden 2"	"Käppala"	"SWE: Käppala"	"K�ppala"	"Surplus"	46	"8,6"	"Sludge"
"15"	"130"	1.47685	2060	11621329468	0.127080985361149	177.260270063965	"Sweden 2"	"Henriksdal"	"SWE: Henriksdal"	"Henriksdal"	"Surplus"	20	"10,5"	"Sludge"
"16"	"131"	1.32512	1972	9452777860	0.140183131310779	208.615925308542	"Sweden 2"	"Henriksdal"	"SWE: Henriksdal"	"Henriksdal"	"Surplus"	21	"8,8"	"Sludge"
"17"	"138"	0.586494	694	6631300238	0.0884432884880035	104.655192057676	"Sweden 2"	"Henriksdal"	"SWE: Henriksdal"	"Henriksdal"	"Digested"	2	"5,8"	"Digested Sludge"
"18"	"139"	0.985906	1016	8540159434	0.115443512222374	118.967334023661	"Sweden 2"	"Henriksdal"	"SWE: Henriksdal"	"Henriksdal"	"Digested"	3	"7,8"	"Digested Sludge"
"19"	"140"	0.938278	788	6851750918	0.136939887516209	115.007099561934	"Sweden 2"	"Henriksdal"	"SWE: Henriksdal"	"Henriksdal"	"Digested"	4	"6,3"	"Digested Sludge"
"20"	"141"	3.45284	10303	7872690430	0.438584500521253	1308.70127456542	"Sweden 2"	"Henriksdal"	"SWE: Henriksdal"	"Henriksdal"	"Inlet-HA"	5	"7,7"	"Raw sewage"
"21"	"142"	4.04567	9755	6789172732	0.595900290020784	1436.84663582367	"Sweden 2"	"Henriksdal"	"SWE: Henriksdal"	"Henriksdal"	"Inlet-HA"	6	"6,6"	"Raw sewage"
"22"	"143"	2.04311	7105	7164503680	0.285171184391101	991.694654276456	"Sweden 2"	"Uppsala"	"SWE: Uppsala"	"Uppsala"	"Inlet-AD"	53	"7,0"	"Raw sewage"
"23"	"144"	1.8659	6859	6776217260	0.275360120315859	1012.21665965297	"Sweden 2"	"Uppsala"	"SWE: Uppsala"	"Uppsala"	"Inlet-AD"	54	"6,6"	"Raw sewage"
